uid,d15N,d13C,sampleID,individualID
c8e7fdd1-2126-41c4-99a7-d464a4dd69e5,-2.1,-29.3,GWdltx9aizzQsOatZUJsTKXh9WVfZ1p59Gmq8XBhUsY=,NEON.PLA.D06.UKFS.00544
5b764ee6-f139-4811-9f49-8336538621cf,0.4,-28.1,GWdltx9aizz+eW7mhYtdgHHS7ub+yvWdH8xAIFtLEic=,NEON.PLA.D06.UKFS.00552
7642122c-0ba5-41da-82b0-ea78b035e4ad,-1.8,-30.4,GWdltx9aizxnREsKrQUNVx+rhJuZDAIdFkLPfd8DK/s=,NEON.PLA.D06.UKFS.03401
52228393-13c5-4043-bdd1-c4a8df410bd7,-1.4,-27.9,GWdltx9aizzDOc8cslgsczc6G6AcbIhCXhF4n/geWJg=,NEON.PLA.D06.UKFS.00595
47b467f4-c936-4a66-84be-b3fc0f26d8bc,-2.1,-30.8,GWdltx9aizxZ2lA1eXFJbK4By16dJyeFDUmPqcl5wBc=,NEON.PLA.D06.UKFS.03402
3b026db3-b3f7-4dd0-ba3d-c4e5ed19f059,-1.9,-30.9,GWdltx9aizz0DILFyfUVG0swgdZQAhMEm+LKhPXul3g=,NEON.PLA.D06.UKFS.03403
41a2cfbf-bf12-472a-b4ad-391da546c22c,-2.3,-29,GWdltx9aizxwX7AzJ2MXqobnx3r+YMO7INvF7rJVrVM=,NEON.PLA.D06.UKFS.00083
441cab6c-cd22-4d30-8ce6-917f62802b15,-2.4,-29.1,GWdltx9aizxwX7AzJ2MXqobnx3r+YMO7INvF7rJVrVM=,NEON.PLA.D06.UKFS.00083
269c1add-ba2e-4c35-a570-0e44df8155be,-0.5,-27.5,GWdltx9aizxltZTOwRb9Qn1PT5NJRj6g9P5dt7eEN5g=,NEON.PLA.D06.UKFS.00084
6e291988-c5a4-4ca4-8f8a-a3c8328d8dee,-1.6,-29.4,GWdltx9aizxVVTEWIy/rgS3q/5kJNQuXMZQhBX27jBA=,NEON.PLA.D06.UKFS.00864
7a6e0db4-e11b-489f-be16-40959e816e11,-1.5,-29.4,GWdltx9aizxVVTEWIy/rgS3q/5kJNQuXMZQhBX27jBA=,NEON.PLA.D06.UKFS.00864
aa4454a0-3801-4361-a81b-06ba2c028304,-0.2,-28.6,GWdltx9aizx+741BiGj9NSCvw105MMBiYMWsSDMM46Y=,NEON.PLA.D06.UKFS.00082
9534e768-4ee6-41c7-a748-f89b3ee12523,-0.6,-29.4,GWdltx9aizx3z760/fR15SpiFHRYErnjlP6L/L9fuX8=,NEON.PLA.D06.UKFS.00865
41f4e0f5-0f50-4bec-b920-192af2ee7270,-2.5,-28.4,GWdltx9aizwSUKXTa1nTW7VD1P738RrEpJy7OoBkMGI=,NEON.PLA.D06.UKFS.00828
df7c2ed2-0b6e-440c-a01e-f076ecad1133,0.1,-30.1,GWdltx9aizy6I9LfzL4LGI1RYO5rVtd7Mo9X5Dy1chw=,NEON.PLA.D06.UKFS.03600
5da13581-beef-4069-8f2b-5957be3f2d38,-2.5,-29.3,GWdltx9aizyE5wqE6jwd0awrj5nNqUOrkqO53aRq+tQ=,NEON.PLA.D06.UKFS.02982
